Store,Date,Weekly_Sales,Holiday_Flag,Temperature,Fuel_Price,CPI,Unemployment,Year,Month,Week,Quarter,Day,DayOfWeek,WeekendFlag,Festival_Flag,Festival_Name,Festival_Score,Days_To_Festival,Festival_Week,Festival_Month,Festival_Impact_Score,Pre_Festival_Flag,Post_Festival_Flag,Trend_Score,Mention_Count,Engagement_Rate,Sentiment_Score,Influencer_Promotion_Flag,Viral_Campaign_Flag
1,2010-05-28,1432069.95,0,80.44,2.759,210.8967606,7.808,2010,5,21,2,28,4,0,0,,0,37,0,0,0,0,0,20.56,3672,2.92,0.111,0,0
1,2010-06-04,1615524.71,0,80.69,2.705,211.1764278,7.808,2010,6,22,2,4,4,0,0,,0,30,0,0,0,0,0,28.94,5302,6.19,-0.061,0,0
1,2010-06-11,1542561.09,0,80.43,2.668,211.4560951,7.808,2010,6,23,2,11,4,0,0,,0,23,0,0,7,0,0,22.25,4142,5.84,-0.131,0,0
1,2010-06-18,1503284.06,0,84.11,2.637,211.4537719,7.808,2010,6,24,2,18,4,0,0,,0,16,0,0,14,0,0,19.4,3731,4.46,-0.088,0,0
1,2010-06-25,1422711.6,0,84.34,2.653,211.3386526,7.808,2010,6,25,2,25,4,0,0,,0,9,0,0,21,0,0,32.43,7231,5.86,0.46,0,0
1,2010-07-02,1492418.14,0,80.91,2.669,211.2235333,7.787,2010,7,26,3,2,4,0,1,Independence_Day,7,2,26,7,35,1,0,58.82,10036,12.35,0.53,0,0
1,2010-07-09,1546074.18,0,80.48,2.642,211.108414,7.787,2010,7,27,3,9,4,0,1,Independence_Day,7,5,26,7,32,0,1,60.82,7110,10.93,0.799,1,0
1,2010-07-16,1448938.92,0,83.15,2.623,211.1003854,7.787,2010,7,28,3,16,4,0,0,,0,12,0,0,18,0,0,18.75,5699,5.23,0.999,0,0
1,2010-07-23,1385065.2,0,83.36,2.608,211.2351443,7.787,2010,7,29,3,23,4,0,0,,0,19,0,0,11,0,0,22.32,4712,4.83,0.195,0,0
1,2010-07-30,1371986.6,0,81.84,2.64,211.3699032,7.787,2010,7,30,3,30,4,0,0,,0,25,0,0,5,0,0,25.35,5974,5.24,-0.225,0,0
1,2010-08-06,1605491.78,0,87.16,2.627,211.5046621,7.787,2010,8,31,3,6,4,0,0,,0,18,0,0,12,0,0,21.75,4004,6.18,0.159,0,0
1,2010-08-13,1508237.76,0,87.0,2.692,211.6394211,7.787,2010,8,32,3,13,4,0,0,,0,11,0,0,19,0,0,28.09,4542,5.33,0.764,0,0
1,2010-08-20,1513080.49,0,86.65,2.664,211.6033633,7.787,2010,8,33,3,20,4,0,1,Raksha_Bandhan,7,4,34,8,33,1,0,57.24,7977,10.33,0.876,0,0
1,2010-08-27,1449142.92,0,85.22,2.619,211.5673056,7.787,2010,8,34,3,27,4,0,1,Raksha_Bandhan,7,3,34,8,34,0,1,58.04,9104,11.12,0.356,1,0
1,2010-09-03,1540163.53,0,81.21,2.577,211.5312479,7.787,2010,9,35,3,3,4,0,1,Labor_Day,7,3,36,9,34,1,0,57.52,9185,13.98,0.459,1,0
1,2010-09-10,1507460.69,1,78.69,2.565,211.4951902,7.787,2010,9,36,3,10,4,0,1,Janmashtami,7,1,37,9,36,1,1,69.02,10161,13.11,0.783,1,0
1,2010-09-17,1430378.67,0,82.11,2.582,211.5224596,7.787,2010,9,37,3,17,4,0,1,Janmashtami,7,0,37,9,37,0,1,59.19,9194,12.61,0.694,1,0
1,2010-09-24,1351791.03,0,80.94,2.624,211.5972246,7.787,2010,9,38,3,24,4,0,1,Janmashtami,7,7,37,9,30,0,1,53.3,9317,11.97,0.786,0,0
1,2010-10-01,1453329.5,0,71.89,2.603,211.6719895,7.838,2010,10,39,4,1,4,0,0,,0,14,0,0,16,0,0,29.66,7316,5.7,0.128,1,0
1,2010-10-08,1508239.93,0,63.93,2.633,211.7467544,7.838,2010,10,40,4,8,4,0,0,,0,9,0,0,21,0,0,20.37,5064,3.93,0.317,1,0
1,2010-10-15,1459409.1,0,67.18,2.72,211.8137436,7.838,2010,10,41,4,15,4,0,1,Dussehra,9,2,41,10,37,1,0,70.23,8413,14.52,0.558,1,0
1,2010-10-22,1345454.0,0,69.86,2.725,211.8612937,7.838,2010,10,42,4,22,4,0,1,Dussehra,9,5,41,10,34,0,1,58.54,8419,12.35,1.0,0,0
1,2010-10-29,1384209.22,0,69.64,2.716,211.9088438,7.838,2010,10,43,4,29,4,0,1,Diwali,10,2,44,11,38,1,0,66.83,8371,15.05,0.242,1,0
1,2010-11-05,1551659.28,0,58.74,2.689,211.9563939,7.838,2010,11,44,4,5,4,0,1,Diwali,10,0,44,11,40,0,1,75.99,12396,14.67,0.243,0,0
1,2010-11-12,1494479.49,0,59.61,2.728,212.003944,7.838,2010,11,45,4,12,4,0,1,Diwali,10,7,44,11,33,0,1,78.0,9040,15.44,0.486,1,0
1,2010-11-19,1483784.18,0,51.41,2.771,211.8896737,7.838,2010,11,46,4,19,4,0,1,Black_Friday,10,6,47,11,34,1,0,75.14,9383,18.11,0.496,1,0
1,2010-11-26,1955624.11,1,64.52,2.735,211.7484333,7.838,2010,11,47,4,26,4,0,1,Black_Friday,10,0,47,11,40,0,1,78.81,9770,14.18,0.242,1,0
1,2010-12-03,1548033.78,0,49.27,2.708,211.607193,7.838,2010,12,48,4,3,4,0,1,Black_Friday,10,7,47,11,33,0,1,73.55,9855,12.98,0.188,0,0
1,2010-12-10,1682614.26,0,46.33,2.843,211.4659526,7.838,2010,12,49,4,10,4,0,0,,0,14,0,0,16,0,0,21.0,4071,3.61,0.521,0,0
1,2010-12-17,1891034.93,0,49.84,2.869,211.4053124,7.838,2010,12,50,4,17,4,0,0,,0,8,0,0,22,0,0,26.89,4725,7.21,0.15,0,0
1,2010-12-24,2387950.2,0,52.33,2.886,211.4051222,7.838,2010,12,51,4,24,4,0,1,Christmas,8,1,51,12,37,1,0,72.11,8029,14.26,0.527,0,0
1,2010-12-31,1367320.01,1,48.43,2.943,211.4049321,7.838,2010,12,52,4,31,4,0,1,New_Year,7,1,52,1,36,1,1,63.68,9132,12.66,0.567,0,0
1,2011-01-07,1444732.28,0,48.27,2.976,211.4047419,7.742,2011,1,1,1,7,4,0,1,New_Year,7,6,52,1,31,0,1,61.06,8500,11.64,1.0,1,0
1,2011-01-14,1391013.96,0,35.4,2.983,211.4574109,7.742,2011,1,2,1,14,4,0,0,,0,13,0,0,17,0,0,16.5,5861,5.05,0.235,0,0
1,2011-01-21,1327405.42,0,44.04,3.016,211.8272343,7.742,2011,1,3,1,21,4,0,0,,0,20,0,0,10,0,0,25.9,5912,4.55,0.167,0,0
1,2011-01-28,1316899.31,0,43.83,3.01,212.1970577,7.742,2011,1,4,1,28,4,0,0,,0,17,0,0,13,0,0,22.36,4011,4.67,0.009,0,0
1,2011-02-04,1606629.58,0,42.27,2.989,212.5668812,7.742,2011,2,5,1,4,4,0,0,,0,10,0,0,20,0,0,24.05,5988,4.64,0.38,0,0
1,2011-02-11,1649614.93,1,36.39,3.022,212.9367046,7.742,2011,2,6,1,11,4,0,1,Valentines_Day,6,3,7,2,33,1,0,59.72,6872,9.67,0.481,1,0
1,2011-02-18,1686842.78,0,57.36,3.045,213.2478853,7.742,2011,2,7,1,18,4,0,1,Valentines_Day,6,4,7,2,32,0,1,62.15,7438,12.33,0.996,1,0
1,2011-02-25,1456800.28,0,62.9,3.065,213.535609,7.742,2011,2,8,1,25,4,0,0,,0,11,0,0,19,0,0,30.22,5851,6.68,0.152,0,0
1,2011-03-04,1636263.41,0,59.58,3.288,213.8233327,7.742,2011,3,9,1,4,4,0,0,,0,16,0,0,14,0,0,23.59,3994,4.71,0.502,0,0
1,2011-03-11,1553191.63,0,53.56,3.459,214.1110564,7.742,2011,3,10,1,11,4,0,0,,0,9,0,0,21,0,0,25.26,5796,5.53,-0.013,0,0
1,2011-03-18,1576818.06,0,62.76,3.488,214.3627114,7.742,2011,3,11,1,18,4,0,1,Holi,8,2,11,3,36,1,0,67.25,7492,13.53,0.384,0,0
1,2011-03-25,1541102.38,0,69.97,3.473,214.5999389,7.742,2011,3,12,1,25,4,0,1,Holi,8,5,11,3,33,0,1,69.98,8067,14.16,0.052,0,0
1,2011-04-01,1495064.75,0,59.17,3.524,214.8371664,7.682,2011,4,13,2,1,4,0,0,,0,12,0,0,18,0,0,23.82,5438,4.47,0.438,0,0
1,2011-04-08,1614259.35,0,67.84,3.622,215.0743939,7.682,2011,4,14,2,8,4,0,0,,0,16,0,0,14,0,0,26.51,5124,4.93,0.189,0,0
1,2011-04-15,1559889.0,0,71.27,3.743,215.2918561,7.682,2011,4,15,2,15,4,0,0,,0,9,0,0,21,0,0,21.48,3193,5.13,0.392,0,0
1,2011-04-22,1564819.81,0,72.99,3.807,215.4599053,7.682,2011,4,16,2,22,4,0,1,Easter,6,2,16,4,34,1,0,50.08,8330,9.04,1.0,1,0
1,2011-04-29,1455090.69,0,72.03,3.81,215.6279544,7.682,2011,4,17,2,29,4,0,1,Easter,6,5,16,4,31,0,1,58.61,10821,11.92,0.246,1,0
1,2011-05-06,1629391.28,0,64.61,3.906,215.7960035,7.682,2011,5,18,2,6,4,0,0,,0,12,0,0,18,0,0,34.12,4182,9.12,-0.099,0,0
1,2011-05-13,1604775.58,0,75.64,3.899,215.9640526,7.682,2011,5,19,2,13,4,0,0,,0,19,0,0,11,0,0,26.96,3934,6.08,-0.036,0,0
1,2011-05-20,1428218.27,0,67.63,3.907,215.7339202,7.682,2011,5,20,2,20,4,0,0,,0,26,0,0,4,0,0,30.26,4783,4.92,-0.431,0,0
1,2011-05-27,1466046.67,0,77.72,3.786,215.5037878,7.682,2011,5,21,2,27,4,0,0,,0,33,0,0,0,0,0,27.57,3315,6.42,0.142,0,0
1,2011-06-03,1635078.41,0,83.0,3.699,215.2736553,7.682,2011,6,22,2,3,4,0,0,,0,31,0,0,0,0,0,24.51,7132,6.48,0.465,0,0
1,2011-06-10,1588948.32,0,83.13,3.648,215.0435229,7.682,2011,6,23,2,10,4,0,0,,0,24,0,0,6,0,0,28.88,3777,5.69,0.215,1,0
1,2011-06-17,1532114.86,0,86.41,3.637,214.9980596,7.682,2011,6,24,2,17,4,0,0,,0,17,0,0,13,0,0,33.96,4614,7.15,-0.271,0,0
1,2011-06-24,1438830.15,0,83.58,3.594,215.0910982,7.682,2011,6,25,2,24,4,0,0,,0,10,0,0,20,0,0,25.35,7279,4.94,0.093,0,0
1,2011-07-01,1488538.09,0,85.55,3.524,215.1841368,7.962,2011,7,26,3,1,4,0,1,Independence_Day,7,3,27,7,34,1,0,67.43,7363,13.35,0.588,0,0
1,2011-07-08,1534849.64,0,85.83,3.48,215.2771754,7.962,2011,7,27,3,8,4,0,1,Independence_Day,7,4,27,7,33,0,1,47.72,7924,9.4,0.839,1,0
1,2011-07-15,1455119.97,0,88.54,3.575,215.3611087,7.962,2011,7,28,3,15,4,0,0,,0,11,0,0,19,0,0,29.67,5770,7.07,0.439,0,0
1,2011-07-22,1396926.82,0,85.77,3.651,215.4222784,7.962,2011,7,29,3,22,4,0,0,,0,18,0,0,12,0,0,25.5,5961,7.5,0.096,0,0
1,2011-07-29,1352219.79,0,86.83,3.682,215.4834482,7.962,2011,7,30,3,29,4,0,0,,0,15,0,0,15,0,0,23.16,3615,5.46,0.096,0,0
1,2011-08-05,1624383.75,0,91.65,3.684,215.544618,7.962,2011,8,31,3,5,4,0,0,,0,8,0,0,22,0,0,27.96,6676,4.77,0.378,0,0
1,2011-08-12,1525147.09,0,90.76,3.638,215.6057878,7.962,2011,8,32,3,12,4,0,1,Raksha_Bandhan,7,1,32,8,36,1,0,50.66,7672,13.15,0.372,1,0
1,2011-08-19,1530761.43,0,89.94,3.554,215.6693107,7.962,2011,8,33,3,19,4,0,1,Janmashtami,7,3,34,8,34,1,1,59.27,7536,12.84,0.807,1,0
1,2011-08-26,1464693.46,0,87.96,3.523,215.7332258,7.962,2011,8,34,3,26,4,0,1,Ganesh_Chaturthi,8,4,35,9,34,1,1,66.17,8367,14.36,0.402,1,0
1,2011-09-02,1550229.22,0,87.83,3.533,215.7971409,7.962,2011,9,35,3,2,4,0,1,Labor_Day,7,1,36,9,36,1,1,67.67,9907,13.79,1.0,0,0
1,2011-09-09,1540471.24,1,76.0,3.546,215.861056,7.962,2011,9,36,3,9,4,0,1,Labor_Day,7,4,36,9,33,0,1,57.93,7942,12.24,0.621,1,0
1,2011-09-16,1514259.78,0,79.94,3.526,216.0410526,7.962,2011,9,37,3,16,4,0,0,,0,11,0,0,19,0,0,22.43,4088,4.92,-0.388,0,0
1,2011-09-23,1380020.27,0,75.8,3.467,216.3758246,7.962,2011,9,38,3,23,4,0,0,,0,13,0,0,17,0,0,22.47,5703,6.17,0.392,0,0
1,2011-09-30,1394561.83,0,79.69,3.355,216.7105965,7.962,2011,9,39,3,30,4,0,1,Dussehra,9,6,40,10,33,1,0,72.95,10241,14.38,0.726,0,0
1,2011-10-07,1630989.95,0,69.31,3.285,217.0453684,7.866,2011,10,40,4,7,4,0,1,Dussehra,9,1,40,10,38,0,1,72.65,11129,15.29,0.796,1,0
1,2011-10-14,1493525.93,0,71.74,3.274,217.3552733,7.866,2011,10,41,4,14,4,0,0,,0,8,0,0,22,0,0,23.55,3339,6.44,0.876,1,0
1,2011-10-21,1502562.78,0,63.71,3.353,217.5159762,7.866,2011,10,42,4,21,4,0,1,Diwali,10,5,43,10,35,1,0,77.0,9002,16.88,0.622,0,0
1,2011-10-28,1445249.09,0,66.57,3.372,217.6766791,7.866,2011,10,43,4,28,4,0,1,Halloween,6,2,44,10,34,1,1,55.05,7720,12.49,0.034,0,0
1,2011-11-04,1697229.58,0,54.98,3.332,217.837382,7.866,2011,11,44,4,4,4,0,1,Halloween,6,4,44,10,32,0,1,61.96,8611,11.75,0.88,1,0
1,2011-11-11,1594938.89,0,59.11,3.297,217.9980849,7.866,2011,11,45,4,11,4,0,0,,0,11,0,0,19,0,0,23.81,6364,7.1,-0.334,0,0
1,2011-11-18,1539483.7,0,62.25,3.308,218.2205088,7.866,2011,11,46,4,18,4,0,1,Black_Friday,10,6,47,11,34,1,0,73.33,9590,15.6,0.476,1,0
1,2011-11-25,2033320.66,1,60.14,3.236,218.4676211,7.866,2011,11,47,4,25,4,0,1,Black_Friday,10,0,47,11,40,0,1,78.31,10140,16.18,0.713,1,0
1,2011-12-02,1584083.95,0,48.91,3.172,218.7147333,7.866,2011,12,48,4,2,4,0,1,Black_Friday,10,7,47,11,33,0,1,68.32,10339,14.4,0.43,1,0
1,2011-12-09,1799682.38,0,43.93,3.158,218.9618456,7.866,2011,12,49,4,9,4,0,0,,0,14,0,0,16,0,0,30.82,6807,6.7,0.181,0,0
1,2011-12-16,1881176.67,0,51.63,3.159,219.1794533,7.866,2011,12,50,4,16,4,0,0,,0,9,0,0,21,0,0,31.53,7148,6.52,0.159,0,0
1,2011-12-23,2270188.99,0,47.96,3.112,219.3577216,7.866,2011,12,51,4,23,4,0,1,Christmas,8,2,51,12,36,1,0,73.1,10130,14.52,1.0,1,0
1,2011-12-30,1497462.72,1,44.55,3.129,219.5359898,7.866,2011,12,52,4,30,4,0,1,New_Year,7,2,52,1,35,1,1,58.84,8054,13.47,-0.177,1,0
1,2012-01-06,1550369.92,0,49.01,3.157,219.7142581,7.348,2012,1,1,1,6,4,0,1,New_Year,7,5,52,1,32,0,1,53.7,7021,11.28,0.576,0,0
1,2012-01-13,1459601.17,0,48.53,3.261,219.8925263,7.348,2012,1,2,1,13,4,0,0,,0,12,0,0,18,0,0,23.72,5095,5.79,-0.076,0,0
1,2012-01-20,1394393.84,0,54.11,3.268,219.9856893,7.348,2012,1,3,1,20,4,0,0,,0,19,0,0,11,0,0,23.4,5507,5.51,0.031,1,0
1,2012-01-27,1319325.59,0,54.26,3.29,220.0788523,7.348,2012,1,4,1,27,4,0,0,,0,18,0,0,12,0,0,20.37,2747,4.2,0.404,0,0
1,2012-02-03,1636339.65,0,56.55,3.36,220.1720153,7.348,2012,2,5,1,3,4,0,0,,0,11,0,0,19,0,0,26.86,5680,3.96,0.355,1,0
1,2012-02-10,1802477.43,1,48.02,3.409,220.2651783,7.348,2012,2,6,1,10,4,0,1,Valentines_Day,6,4,7,2,32,1,0,60.36,10798,13.24,0.603,0,0
1,2012-02-17,1819870.0,0,45.32,3.51,220.4257586,7.348,2012,2,7,1,17,4,0,1,Valentines_Day,6,3,7,2,33,0,1,67.7,9777,14.53,0.123,1,0
1,2012-02-24,1539387.83,0,57.25,3.555,220.636902,7.348,2012,2,8,1,24,4,0,0,,0,10,0,0,20,0,0,27.45,6208,6.2,0.556,0,0
1,2012-03-02,1688420.76,0,60.96,3.63,220.8480454,7.348,2012,3,9,1,2,4,0,1,Holi,8,6,10,3,32,1,0,68.09,10737,12.85,0.337,1,0
1,2012-03-09,1675431.16,0,58.76,3.669,221.0591887,7.348,2012,3,10,1,9,4,0,1,Holi,8,1,10,3,37,0,1,66.35,10510,15.43,1.0,0,0
1,2012-03-16,1677472.78,0,64.74,3.734,221.2118132,7.348,2012,3,11,1,16,4,0,0,,0,8,0,0,22,0,0,18.81,6336,4.23,0.005,0,0
1,2012-03-23,1511068.07,0,65.93,3.787,221.2864126,7.348,2012,3,12,1,23,4,0,0,,0,15,0,0,15,0,0,26.17,6822,6.22,0.509,1,0
1,2012-03-30,1649604.63,0,67.61,3.845,221.3610119,7.348,2012,3,13,1,30,4,0,0,,0,9,0,0,21,0,0,28.08,6713,5.63,0.231,0,0
1,2012-04-06,1899676.88,0,70.43,3.891,221.4356112,7.143,2012,4,14,2,6,4,0,1,Easter,6,2,14,4,34,1,0,71.35,11673,13.21,-0.002,0,0
1,2012-04-13,1621031.7,0,69.07,3.891,221.5102105,7.143,2012,4,15,2,13,4,0,1,Easter,6,5,14,4,31,0,1,55.53,7105,12.14,0.393,1,0
1,2012-04-20,1521577.87,0,66.76,3.877,221.5640737,7.143,2012,4,16,2,20,4,0,0,,0,12,0,0,18,0,0,27.87,4000,4.79,0.711,0,0
1,2012-04-27,1468928.37,0,67.23,3.814,221.6179368,7.143,2012,4,17,2,27,4,0,0,,0,19,0,0,11,0,0,25.68,5956,6.11,0.447,0,0
1,2012-05-04,1684519.99,0,75.55,3.749,221.6718,7.143,2012,5,18,2,4,4,0,0,,0,26,0,0,4,0,0,22.51,3438,5.51,0.069,0,0
1,2012-05-11,1611096.05,0,73.77,3.688,221.7256632,7.143,2012,5,19,2,11,4,0,0,,0,33,0,0,0,0,0,32.89,4118,6.13,0.591,0,0
1,2012-05-18,1595901.87,0,70.33,3.63,221.742674,7.143,2012,5,20,2,18,4,0,0,,0,40,0,0,0,0,0,30.84,5330,5.56,0.285,1,0
1,2012-05-25,1555444.55,0,77.22,3.561,221.744944,7.143,2012,5,21,2,25,4,0,0,,0,40,0,0,0,0,0,30.6,4767,6.04,0.693,1,0
1,2012-06-01,1624477.58,0,77.95,3.501,221.7472139,7.143,2012,6,22,2,1,4,0,0,,0,33,0,0,0,0,0,23.12,4954,4.77,0.176,0,0
1,2012-06-08,1697230.96,0,78.3,3.452,221.7494839,7.143,2012,6,23,2,8,4,0,0,,0,26,0,0,4,0,0,35.07,4791,6.13,0.112,0,0
1,2012-06-15,1630607.0,0,79.35,3.393,221.7626421,7.143,2012,6,24,2,15,4,0,0,,0,19,0,0,11,0,0,20.81,5277,3.83,0.496,0,0
1,2012-06-22,1527845.81,0,78.39,3.346,221.8030211,7.143,2012,6,25,2,22,4,0,0,,0,12,0,0,18,0,0,29.32,7252,6.65,0.276,0,0
1,2012-06-29,1540421.49,0,84.88,3.286,221.8434,7.143,2012,6,26,2,29,4,0,1,Independence_Day,7,5,27,7,32,1,0,71.01,11319,16.48,0.717,0,0
1,2012-07-06,1769854.16,0,81.57,3.227,221.8837789,6.908,2012,7,27,3,6,4,0,1,Independence_Day,7,2,27,7,35,0,1,58.1,9003,13.05,0.291,0,0
1,2012-07-13,1527014.04,0,77.12,3.256,221.9241579,6.908,2012,7,28,3,13,4,0,0,,0,9,0,0,21,0,0,23.74,3499,5.67,0.551,0,0
1,2012-07-20,1497954.76,0,80.42,3.311,221.9327267,6.908,2012,7,29,3,20,4,0,0,,0,13,0,0,17,0,0,26.64,7398,7.19,0.495,0,0
1,2012-07-27,1439123.71,0,82.66,3.407,221.9412954,6.908,2012,7,30,3,27,4,0,1,Raksha_Bandhan,7,6,31,8,31,1,0,56.91,9899,12.97,0.955,1,0
1,2012-08-03,1631135.79,0,86.11,3.417,221.9498642,6.908,2012,8,31,3,3,4,0,1,Janmashtami,7,1,32,8,36,1,1,53.91,6652,10.94,0.142,1,0
1,2012-08-10,1592409.97,0,85.05,3.494,221.9584329,6.908,2012,8,32,3,10,4,0,1,Janmashtami,7,0,32,8,37,0,0,61.32,10611,12.91,0.201,1,0
1,2012-08-17,1597868.05,0,84.85,3.571,222.0384109,6.908,2012,8,33,3,17,4,0,1,Janmashtami,7,7,32,8,30,0,1,55.91,9620,12.6,0.326,0,0
1,2012-08-24,1494122.38,0,77.66,3.62,222.1719457,6.908,2012,8,34,3,24,4,0,0,,0,10,0,0,20,0,0,28.41,4896,7.51,0.128,1,0
1,2012-08-31,1582083.4,0,80.49,3.638,222.3054805,6.908,2012,8,35,3,31,4,0,1,Labor_Day,7,3,36,9,34,1,0,56.43,9776,12.85,0.15,0,0
1,2012-09-07,1661767.33,1,83.96,3.73,222.4390153,6.908,2012,9,36,3,7,4,0,1,Labor_Day,7,4,36,9,33,0,1,69.22,8097,13.12,0.741,0,0
1,2012-09-14,1517428.87,0,74.97,3.717,222.5820193,6.908,2012,9,37,3,14,4,0,1,Ganesh_Chaturthi,8,5,38,9,33,1,0,61.23,10810,13.81,0.469,1,0
1,2012-09-21,1506126.06,0,69.87,3.721,222.7818386,6.908,2012,9,38,3,21,4,0,1,Ganesh_Chaturthi,8,2,38,9,36,0,1,63.34,6870,14.89,0.977,1,0
1,2012-09-28,1437059.26,0,76.08,3.666,222.9816579,6.908,2012,9,39,3,28,4,0,0,,0,9,0,0,21,0,0,29.44,7280,8.09,0.83,1,0
1,2012-10-05,1670785.97,0,68.55,3.617,223.1814772,6.573,2012,10,40,4,5,4,0,0,,0,16,0,0,14,0,0,22.07,4494,4.11,0.022,1,0
1,2012-10-12,1573072.81,0,62.99,3.601,223.3812965,6.573,2012,10,41,4,12,4,0,0,,0,12,0,0,18,0,0,28.06,6033,4.99,-0.03,0,0
1,2012-10-19,1508068.77,0,67.97,3.594,223.4257233,6.573,2012,10,42,4,19,4,0,1,Dussehra,9,5,43,10,34,1,0,76.06,11986,15.92,0.874,1,0
1,2012-10-26,1493659.74,0,69.16,3.506,223.4442513,6.573,2012,10,43,4,26,4,0,1,Halloween,6,2,44,10,34,1,1,47.33,7127,11.47,0.529,0,0
2,2010-02-05,2136989.46,0,40.19,2.572,210.7526053,8.324,2010,2,5,1,5,4,0,0,,0,9,0,0,21,0,0,33.9,4026,7.67,0.311,0,0
2,2010-02-12,2137809.5,1,38.49,2.548,210.8979935,8.324,2010,2,6,1,12,4,0,1,Valentines_Day,6,2,6,2,34,1,0,63.25,9901,12.78,0.899,1,0
2,2010-02-19,2124451.54,0,39.69,2.514,210.9451605,8.324,2010,2,7,1,19,4,0,1,Valentines_Day,6,5,6,2,31,0,1,65.63,10946,13.38,0.418,1,0
2,2010-02-26,1865097.27,0,46.1,2.561,210.9759573,8.324,2010,2,8,1,26,4,0,1,Holi,8,3,9,3,35,1,0,62.76,7437,13.94,0.28,1,0
2,2010-03-05,1991013.13,0,47.17,2.625,211.0067542,8.324,2010,3,9,1,5,4,0,1,Holi,8,4,9,3,34,0,1,63.71,8681,12.78,0.231,1,0
2,2010-03-12,1990483.78,0,57.56,2.667,211.037551,8.324,2010,3,10,1,12,4,0,0,,0,11,0,0,19,0,0,33.96,4310,7.93,0.147,0,0
2,2010-03-19,1946070.88,0,54.52,2.72,210.8733316,8.324,2010,3,11,1,19,4,0,0,,0,16,0,0,14,0,0,32.39,4081,7.02,0.094,0,0
2,2010-03-26,1750197.81,0,51.26,2.732,210.6766095,8.324,2010,3,12,1,26,4,0,0,,0,9,0,0,21,0,0,30.07,6236,5.82,0.459,0,0
2,2010-04-02,2066187.72,0,63.27,2.719,210.4798874,8.2,2010,4,13,2,2,4,0,1,Easter,6,2,13,4,34,1,0,62.9,10240,11.98,0.918,1,0
